country,prct_rpt_pollution,prct_env_satis_high,prct_env_satis_med,prct_env_satis_low,prct_job_satis_high,prct_job_satis_med,prct_job_satis_low,prct_life_satis_high,prct_life_satis_med,prct_life_satis_low,political_trust_rating,median_income,legal_trust_rating,prct_budget_veryhard,prct_budget_hard,prct_budget_somehard,prct_budget_someeasy,prct_budget_easy,prct_budget_veryeasy,prct_rpt_crime,prct_leisure_satis_high,prct_leisure_satis_med,prct_leisure_satis_low,med_income_underemp,prct_close_relat,prct_low_savings,avg_temp,avg_high_temp,avg_low_temp,avg_precipitation,life_expect,unemp_rate,police_trust_rating,gdp,prct_health_verygood,prct_health_good,prct_health_fair,prct_health_bad,prct_health_verybad,total_pop,prct_yng_adt_pop,avg_hrs_worked,hard_budget,easy_budget,med_budget,bad_health,good_health
Belgium,13.2,22.2,70.3,7.5,23.0,68.5,8.5,20.9,69.9,9.2,46.0,74.33797909407666,50.0,9.3,12.2,17.2,25.8,29.0,6.4,13.4,21.5,60.6,17.9,14.6,92.2,25.9,48.8,55.5,42.0,33.1,81.5,78.0,61.0,13.438617088607595,29.8,43.9,17.0,7.2,2.0,13.656058593507542,18.4851460433477,37.0,21.5,35.4,43.0,9.2,73.7
Bulgaria,15.1,8.4,32.6,59.0,16.1,36.1,47.7,5.9,29.8,64.2,26.0,23.49128919860627,30.0,28.9,32.8,28.5,7.3,2.1,0.3,25.0,14.6,33.9,51.5,11.9,95.3,54.2,49.4,59.3,43.4,24.7,74.9,76.0,36.0,1.5230569620253165,19.1,46.7,23.2,8.7,2.3,9.142287877847433,18.4325765115954,40.8,61.699999999999996,2.4,35.8,11.0,65.80000000000001
Czechia,13.5,33.5,48.7,17.8,29.6,51.4,19.0,21.3,53.3,25.4,37.0,43.47735191637631,38.0,7.1,16.1,35.7,30.3,9.4,1.5,11.7,24.3,44.1,31.5,6.7,98.1,32.1,44.5,51.4,37.3,27.4,79.1,40.0,49.0,5.581332278481013,18.6,41.8,27.9,9.7,2.0,12.955819005648316,18.862489172677602,40.3,23.200000000000003,10.9,66.0,11.7,60.4
Denmark,6.8,52.2,36.9,10.9,44.4,46.4,9.2,42.7,46.6,10.6,59.0,74.40766550522648,75.0,3.2,6.8,16.9,30.7,26.2,16.1,8.4,41.4,40.9,17.7,10.7,95.5,24.5,46.0,51.4,41.6,23.9,80.9,62.0,79.0,8.926895569620253,26.5,44.8,21.1,5.4,2.2,6.902896157904538,18.0820044066965,32.9,10.0,42.3,47.599999999999994,7.6000000000000005,71.3
Germany,23.2,40.9,43.1,15.9,25.0,50.7,24.3,25.0,55.8,19.2,49.0,73.70034843205575,53.0,2.3,4.6,9.6,39.4,32.2,12.0,14.1,24.2,42.5,33.3,9.6,96.7,30.0,46.6,54.0,40.5,29.4,81.0,41.0,64.0,99.99208860759494,18.0,47.2,26.5,6.9,1.4,99.58375643969958,17.105589842993,35.1,6.8999999999999995,44.2,49.0,8.3,65.2
Estonia,9.9,18.1,53.4,28.5,26.6,55.1,18.4,13.5,52.1,34.4,44.0,41.34843205574913,52.0,4.9,10.5,42.1,29.4,11.3,1.9,9.2,22.2,44.9,33.0,5.8,92.8,31.6,41.9,48.4,35.9,25.6,78.0,68.0,60.0,0.6861582278481012,9.3,43.6,32.7,12.5,1.9,1.6069207373843957,19.688363056266898,38.4,15.4,13.200000000000001,71.5,14.4,52.900000000000006
Ireland,4.6,43.7,46.2,10.1,28.3,51.7,20.0,30.6,52.7,16.7,32.0,63.714285714285715,51.0,12.0,15.4,36.7,25.4,7.7,2.7,9.9,29.1,42.3,28.6,18.2,96.2,45.3,49.4,55.2,44.0,40.8,81.8,84.0,69.0,8.646778481012658,41.7,41.1,13.7,2.8,0.8,5.679210477313637,20.6013349397843,35.9,27.4,10.4,62.1,3.5999999999999996,82.80000000000001
Greece,19.6,18.3,45.2,36.5,14.0,48.3,37.7,12.8,51.8,35.5,20.0,31.526132404181183,41.0,40.6,36.2,17.0,4.4,1.5,0.3,11.8,11.6,52.2,36.2,17.2,96.2,53.6,62.5,70.1,53.9,25.3,81.5,236.0,50.0,5.585060126582278,45.0,29.0,15.6,7.5,2.8,13.427206256594873,17.604416155416,42.3,76.80000000000001,1.8,21.4,10.3,74.0
Spain,10.1,23.7,58.9,17.4,19.4,59.1,21.5,18.4,58.4,23.2,19.0,53.47386759581882,31.0,16.6,19.0,27.0,25.4,11.1,0.9,10.3,21.2,49.0,29.7,14.9,96.9,38.7,60.0,69.3,52.3,21.7,83.5,196.0,54.0,35.40325949367089,15.6,56.9,20.6,5.5,1.4,58.116702873812926,16.6743314398887,37.7,35.6,12.0,52.4,6.9,72.5
France,14.1,27.9,61.6,10.5,20.0,64.7,15.4,16.1,64.8,19.1,30.0,71.85017421602788,45.0,4.2,15.0,39.8,26.8,12.2,1.9,14.8,23.3,51.4,25.2,8.4,93.1,31.8,52.3,60.5,45.6,30.7,82.7,101.0,56.0,70.52430379746835,21.9,44.5,25.5,7.1,1.0,80.60753522438085,18.527500485112398,37.3,19.2,14.1,66.6,8.1,66.4
